age,normal_retire_rate
45,0.17
46,0.17
47,0.17
48,0.195
49,0.195
50,0.195
51,0.19999999999999998
52,0.32499999999999996
53,0.3025
54,0.31875
55,0.40625
56,0.12000000000000001
57,0.12000000000000001
58,0.12000000000000001
59,0.12000000000000001
60,0.12000000000000001
61,0.12000000000000001
62,0.12000000000000001
63,0.12000000000000001
64,0.12000000000000001
65,0.12000000000000001
66,0.12000000000000001
67,0.12000000000000001
68,0.12000000000000001
69,0.12000000000000001
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
