year,model,assumption,recession,recur_recession,constant_6
2023,0.067,0.067,0.067,0.067,0.06
2024,0.067,0.067,-0.24,-0.24,0.06
2025,0.067,0.067,0.11,0.11,0.06
2026,0.067,0.067,0.11,0.11,0.06
2027,0.067,0.067,0.11,0.11,0.06
2028,0.067,0.067,0.06,0.06,0.06
2029,0.067,0.067,0.06,0.06,0.06
2030,0.067,0.067,0.06,0.06,0.06
2031,0.067,0.067,0.06,0.06,0.06
2032,0.067,0.067,0.06,0.06,0.06
2033,0.067,0.067,0.06,0.06,0.06
2034,0.067,0.067,0.06,0.06,0.06
2035,0.067,0.067,0.06,0.06,0.06
2036,0.067,0.067,0.06,0.06,0.06
2037,0.067,0.067,0.06,0.06,0.06
2038,0.067,0.067,0.06,0.06,0.06
2039,0.067,0.067,0.06,-0.24,0.06
2040,0.067,0.067,0.06,0.11,0.06
2041,0.067,0.067,0.06,0.11,0.06
2042,0.067,0.067,0.06,0.11,0.06
2043,0.067,0.067,0.06,0.06,0.06
2044,0.067,0.067,0.06,0.06,0.06
2045,0.067,0.067,0.06,0.06,0.06
2046,0.067,0.067,0.06,0.06,0.06
2047,0.067,0.067,0.06,0.06,0.06
2048,0.067,0.067,0.06,0.06,0.06
2049,0.067,0.067,0.06,0.06,0.06
2050,0.067,0.067,0.06,0.06,0.06
2051,0.067,0.067,0.06,0.06,0.06
2052,0.067,0.067,0.06,0.06,0.06
2053,0.067,0.067,0.06,0.06,0.06
2054,0.067,0.067,0.06,0.06,0.06
2055,0.067,0.067,0.06,0.06,0.06
2056,0.067,0.067,0.06,0.06,0.06
2057,0.067,0.067,0.06,0.06,0.06
2058,0.067,0.067,0.06,0.06,0.06
2059,0.067,0.067,0.06,0.06,0.06
2060,0.067,0.067,0.06,0.06,0.06
2061,0.067,0.067,0.06,0.06,0.06
2062,0.067,0.067,0.06,0.06,0.06
2063,0.067,0.067,0.06,0.06,0.06
2064,0.067,0.067,0.06,0.06,0.06
2065,0.067,0.067,0.06,0.06,0.06
2066,0.067,0.067,0.06,0.06,0.06
2067,0.067,0.067,0.06,0.06,0.06
2068,0.067,0.067,0.06,0.06,0.06
2069,0.067,0.067,0.06,0.06,0.06
2070,0.067,0.067,0.06,0.06,0.06
2071,0.067,0.067,0.06,0.06,0.06
2072,0.067,0.067,0.06,0.06,0.06
2073,0.067,0.067,0.06,0.06,0.06
2074,0.067,0.067,0.06,0.06,0.06
2075,0.067,0.067,0.06,0.06,0.06
2076,0.067,0.067,0.06,0.06,0.06
2077,0.067,0.067,0.06,0.06,0.06
2078,0.067,0.067,0.06,0.06,0.06
2079,0.067,0.067,0.06,0.06,0.06
2080,0.067,0.067,0.06,0.06,0.06
2081,0.067,0.067,0.06,0.06,0.06
2082,0.067,0.067,0.06,0.06,0.06
2083,0.067,0.067,0.06,0.06,0.06
2084,0.067,0.067,0.06,0.06,0.06
2085,0.067,0.067,0.06,0.06,0.06
2086,0.067,0.067,0.06,0.06,0.06
2087,0.067,0.067,0.06,0.06,0.06
2088,0.067,0.067,0.06,0.06,0.06
2089,0.067,0.067,0.06,0.06,0.06
2090,0.067,0.067,0.06,0.06,0.06
2091,0.067,0.067,0.06,0.06,0.06
2092,0.067,0.067,0.06,0.06,0.06
2093,0.067,0.067,0.06,0.06,0.06
2094,0.067,0.067,0.06,0.06,0.06
2095,0.067,0.067,0.06,0.06,0.06
2096,0.067,0.067,0.06,0.06,0.06
2097,0.067,0.067,0.06,0.06,0.06
2098,0.067,0.067,0.06,0.06,0.06
2099,0.067,0.067,0.06,0.06,0.06
2100,0.067,0.067,0.06,0.06,0.06
2101,0.067,0.067,0.06,0.06,0.06
2102,0.067,0.067,0.06,0.06,0.06
2103,0.067,0.067,0.06,0.06,0.06
2104,0.067,0.067,0.06,0.06,0.06
2105,0.067,0.067,0.06,0.06,0.06
2106,0.067,0.067,0.06,0.06,0.06
2107,0.067,0.067,0.06,0.06,0.06
2108,0.067,0.067,0.06,0.06,0.06
2109,0.067,0.067,0.06,0.06,0.06
2110,0.067,0.067,0.06,0.06,0.06
2111,0.067,0.067,0.06,0.06,0.06
2112,0.067,0.067,0.06,0.06,0.06
2113,0.067,0.067,0.06,0.06,0.06
2114,0.067,0.067,0.06,0.06,0.06
2115,0.067,0.067,0.06,0.06,0.06
2116,0.067,0.067,0.06,0.06,0.06
2117,0.067,0.067,0.06,0.06,0.06
2118,0.067,0.067,0.06,0.06,0.06
2119,0.067,0.067,0.06,0.06,0.06
2120,0.067,0.067,0.06,0.06,0.06
2121,0.067,0.067,0.06,0.06,0.06
2122,0.067,0.067,0.06,0.06,0.06
