yos,salary_increase_regular,salary_increase_special_risk,salary_increase_admin,salary_increase_eco,salary_increase_eso,salary_increase_judges,salary_increase_senior_management
0,0.078,0.074,0.037,0.035,0.0325,0.035,0.082
1,0.058,0.057,0.037,0.035,0.0325,0.035,0.082
2,0.054,0.054,0.037,0.035,0.0325,0.035,0.073
3,0.051,0.054,0.037,0.035,0.0325,0.035,0.065
4,0.047,0.054,0.037,0.035,0.0325,0.035,0.061
5,0.046,0.054,0.037,0.035,0.0325,0.035,0.058
6,0.046,0.054,0.037,0.035,0.0325,0.035,0.054
7,0.044,0.053,0.037,0.035,0.0325,0.035,0.051
8,0.044,0.053,0.037,0.035,0.0325,0.035,0.046
9,0.044,0.053,0.037,0.035,0.0325,0.035,0.046
10,0.044,0.053,0.037,0.035,0.0325,0.035,0.046
11,0.043,0.051,0.037,0.035,0.0325,0.035,0.046
12,0.042,0.051,0.037,0.035,0.0325,0.035,0.046
13,0.042,0.05,0.037,0.035,0.0325,0.035,0.046
14,0.042,0.05,0.037,0.035,0.0325,0.035,0.046
15,0.042,0.05,0.037,0.035,0.0325,0.035,0.046
16,0.042,0.048,0.037,0.035,0.0325,0.035,0.046
17,0.042,0.048,0.037,0.035,0.0325,0.035,0.041
18,0.041,0.048,0.037,0.035,0.0325,0.035,0.041
19,0.041,0.048,0.037,0.035,0.0325,0.035,0.041
20,0.041,0.048,0.037,0.035,0.0325,0.035,0.041
21,0.04,0.048,0.037,0.035,0.0325,0.035,0.041
22,0.04,0.048,0.037,0.035,0.0325,0.035,0.041
23,0.039,0.048,0.037,0.035,0.0325,0.035,0.041
24,0.039,0.048,0.037,0.035,0.0325,0.035,0.041
25,0.038,0.048,0.037,0.035,0.0325,0.035,0.041
26,0.037000000000000005,0.048,0.037,0.035,0.0325,0.035,0.041
27,0.036000000000000004,0.048,0.037,0.035,0.0325,0.035,0.041
28,0.035,0.048,0.037,0.035,0.0325,0.035,0.041
29,0.034,0.048,0.037,0.035,0.0325,0.035,0.041
30,0.034,0.048,0.037,0.035,0.0325,0.035,0.041
