"age","2","7","12","17","22","27","32","37","42","47","52"
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,42065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,53166,61026,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,56168,68476,85739,64389,NA,NA,NA,NA,NA,NA,NA
37,64150,74641,87588,86311,97611,NA,NA,NA,NA,NA,NA
42,91314,85842,87989,99864,107578,98542,NA,NA,NA,NA,NA
47,93778,121790,112017,105440,107502,100444,96054,NA,NA,NA,NA
52,119578,113064,106639,112603,116324,124839,124615,79818,NA,NA,NA
57,119883,113058,119772,115707,119032,124957,135496,138692,52852,NA,NA
62,112662,134721,125737,126311,130338,126428,132497,140258,109370,NA,NA
67,78477,135997,147809,108804,135277,143160,167875,136501,188556,242596,NA
