entry_year,entry_age,age,yos,count,entry_salary
2020,18,20,2,160.29500134414977,28552.225211369092
2020,20,22,2,4805.390435978936,39709.55358354078
2020,25,27,2,8253.462767050934,46194.65159995701
2015,20,27,7,2820.7307430776286,42119.878957162706
2020,30,32,2,5339.322706643263,47328.354553927085
2015,25,32,7,6193.844979995888,46497.98429115079
2010,20,32,12,1472.6382497588436,39362.429107455486
2020,35,37,2,2557.800812815282,47271.0968289791
2015,30,37,7,3602.601325173553,47555.09526197142
2010,25,37,12,3088.2734791340513,42905.76572315717
2005,20,37,17,2173.784730458434,38790.604265340364
2020,40,42,2,1349.2456947673038,47541.52946834881
2015,35,42,7,1638.6992583455888,46701.82183260948
2010,30,42,12,1895.8631813653399,42596.555753734894
2005,25,42,17,3852.84603950219,40022.03897134259
2000,20,42,22,1304.2708382750604,32637.984941940198
2020,45,47,2,868.3606907348545,47730.039516639095
2015,40,47,7,919.1015544696933,45046.74226010107
2010,35,47,12,1143.9758369309106,41581.92778627469
2005,30,47,17,2678.8869649097837,39181.49024845389
2000,25,47,22,2933.7444850324964,33628.019750107
1995,20,47,27,634.2607966854847,27112.62244029187
2020,50,52,2,768.032164713696,49863.55043700857
2015,45,52,7,773.7981719562914,45604.07879372399
2010,40,52,12,862.5946834922593,41021.157163763106
2005,35,52,17,1907.3951958505304,38464.24940667355
2000,30,52,22,2452.8594810000473,33170.88052505527
1995,25,52,27,1207.4019165994591,25581.303746999474
1990,20,52,32,133.77136802821133,19274.933527835172
2020,55,57,2,405.9269098787102,45222.15116391741
2015,50,57,7,535.0854721128453,46489.180676403405
2010,45,57,12,479.7318025839303,41708.23219751328
2005,40,57,17,759.9597545740626,37113.61708226658
2000,35,57,22,548.923889495074,30037.233404821567
1995,30,57,27,362.10525483498583,22574.734125805637
1990,25,57,32,154.52899410155447,18854.206051789035
1985,20,57,37,18.45122317630501,14886.10112629522
2020,60,62,2,136.07777092524944,42146.97089017263
2015,55,62,7,190.27823900564542,43920.55677357018
2010,50,62,12,260.6235273653083,39302.68345234677
2005,45,62,17,310.211189651628,35769.56117818538
2000,40,62,22,219.108275218622,29227.973425338096
1995,35,62,27,124.54575644005882,24034.81075022971
1990,30,62,32,54.200468080395964,17954.361938369275
1985,25,62,37,16.144820279266884,17119.52323281232
1980,20,62,42,3.4596043455571897,11289.328120218086
2020,65,67,2,36.90244635261002,42421.80796992296
2015,60,67,7,53.0472666318769,42898.66026173909
2010,55,67,12,83.03050429337254,37893.94379504665
2005,50,67,17,87.6433100874488,33800.334316884764
2000,45,67,22,68.03888546262472,29376.88506479307
1995,40,67,27,33.44284200705283,22661.66488132005
1990,35,67,32,16.144820279266884,19970.11040677601
1985,30,67,37,13.838417382228759,14609.940848533055
1980,25,67,42,8.072410139633442,10941.409921815317
1975,20,67,47,4.612805794076253,14705.175501909864
