age,yos,reduce_factor,tier
55,20,0.9,grandfathered
55,21,0.9199999999999999,grandfathered
55,22,0.94,grandfathered
55,23,0.96,grandfathered
55,24,0.98,grandfathered
55,25,1.0,grandfathered
55,26,1.0,grandfathered
55,27,1.0,grandfathered
55,28,1.0,grandfathered
55,29,1.0,grandfathered
55,30,1.0,grandfathered
56,20,0.92,grandfathered
56,21,0.94,grandfathered
56,22,0.96,grandfathered
56,23,0.98,grandfathered
56,24,1.0,grandfathered
56,25,1.0,grandfathered
56,26,1.0,grandfathered
56,27,1.0,grandfathered
56,28,1.0,grandfathered
56,29,1.0,grandfathered
56,30,1.0,grandfathered
57,20,0.94,grandfathered
57,21,0.96,grandfathered
57,22,0.98,grandfathered
57,23,1.0,grandfathered
57,24,1.0,grandfathered
57,25,1.0,grandfathered
57,26,1.0,grandfathered
57,27,1.0,grandfathered
57,28,1.0,grandfathered
57,29,1.0,grandfathered
57,30,1.0,grandfathered
58,20,0.96,grandfathered
58,21,0.98,grandfathered
58,22,1.0,grandfathered
58,23,1.0,grandfathered
58,24,1.0,grandfathered
58,25,1.0,grandfathered
58,26,1.0,grandfathered
58,27,1.0,grandfathered
58,28,1.0,grandfathered
58,29,1.0,grandfathered
58,30,1.0,grandfathered
59,20,0.98,grandfathered
59,21,1.0,grandfathered
59,22,1.0,grandfathered
59,23,1.0,grandfathered
59,24,1.0,grandfathered
59,25,1.0,grandfathered
59,26,1.0,grandfathered
59,27,1.0,grandfathered
59,28,1.0,grandfathered
59,29,1.0,grandfathered
59,30,1.0,grandfathered
60,20,1.0,grandfathered
60,21,1.0,grandfathered
60,22,1.0,grandfathered
60,23,1.0,grandfathered
60,24,1.0,grandfathered
60,25,1.0,grandfathered
60,26,1.0,grandfathered
60,27,1.0,grandfathered
60,28,1.0,grandfathered
60,29,1.0,grandfathered
60,30,1.0,grandfathered
