age,tier,retire_type,retire_rate
45,all,early,0.006
46,all,early,0.006
47,all,early,0.006
48,all,early,0.006
49,all,early,0.006
50,all,early,0.006
51,all,early,0.006
52,all,early,0.006
53,all,early,0.006
54,all,early,0.006
55,all,early,0.006
56,all,early,0.006
57,all,early,0.006
58,all,early,0.006
59,all,early,0.006
60,all,early,0.01
61,all,early,0.02
62,all,early,0.03
63,all,early,0.04
64,all,early,0.05
65,all,early,0.0
66,all,early,0.0
67,all,early,0.0
68,all,early,0.0
69,all,early,0.0
70,all,early,0.0
71,all,early,0.0
72,all,early,0.0
73,all,early,0.0
74,all,early,0.0
75,all,early,0.0
76,all,early,0.0
77,all,early,0.0
78,all,early,0.0
79,all,early,0.0
80,all,early,0.0
81,all,early,0.0
82,all,early,0.0
83,all,early,0.0
84,all,early,0.0
85,all,early,0.0
86,all,early,0.0
87,all,early,0.0
88,all,early,0.0
89,all,early,0.0
90,all,early,0.0
91,all,early,0.0
92,all,early,0.0
93,all,early,0.0
94,all,early,0.0
95,all,early,0.0
96,all,early,0.0
97,all,early,0.0
98,all,early,0.0
99,all,early,0.0
100,all,early,0.0
101,all,early,0.0
102,all,early,0.0
103,all,early,0.0
104,all,early,0.0
105,all,early,0.0
106,all,early,0.0
107,all,early,0.0
108,all,early,0.0
109,all,early,0.0
110,all,early,0.0
111,all,early,0.0
112,all,early,0.0
113,all,early,0.0
114,all,early,0.0
115,all,early,0.0
116,all,early,0.0
117,all,early,0.0
118,all,early,0.0
119,all,early,0.0
120,all,early,0.0
45,all,normal,0.0
46,all,normal,0.0
47,all,normal,0.0
48,all,normal,0.0
49,all,normal,0.0
50,all,normal,0.108
51,all,normal,0.108
52,all,normal,0.112
53,all,normal,0.11599999999999999
54,all,normal,0.12
55,all,normal,0.124
56,all,normal,0.133
57,all,normal,0.14200000000000002
58,all,normal,0.15100000000000002
59,all,normal,0.16
60,all,normal,0.16399999999999998
61,all,normal,0.173
62,all,normal,0.182
63,all,normal,0.191
64,all,normal,0.2
65,all,normal,0.24
66,all,normal,0.24
67,all,normal,0.24
68,all,normal,0.24
69,all,normal,0.24
70,all,normal,0.25
71,all,normal,0.25
72,all,normal,0.25
73,all,normal,0.25
74,all,normal,0.25
75,all,normal,1.0
76,all,normal,1.0
77,all,normal,1.0
78,all,normal,1.0
79,all,normal,1.0
80,all,normal,1.0
81,all,normal,1.0
82,all,normal,1.0
83,all,normal,1.0
84,all,normal,1.0
85,all,normal,1.0
86,all,normal,1.0
87,all,normal,1.0
88,all,normal,1.0
89,all,normal,1.0
90,all,normal,1.0
91,all,normal,1.0
92,all,normal,1.0
93,all,normal,1.0
94,all,normal,1.0
95,all,normal,1.0
96,all,normal,1.0
97,all,normal,1.0
98,all,normal,1.0
99,all,normal,1.0
100,all,normal,1.0
101,all,normal,1.0
102,all,normal,1.0
103,all,normal,1.0
104,all,normal,1.0
105,all,normal,1.0
106,all,normal,1.0
107,all,normal,1.0
108,all,normal,1.0
109,all,normal,1.0
110,all,normal,1.0
111,all,normal,1.0
112,all,normal,1.0
113,all,normal,1.0
114,all,normal,1.0
115,all,normal,1.0
116,all,normal,1.0
117,all,normal,1.0
118,all,normal,1.0
119,all,normal,1.0
120,all,normal,1.0
