lookup_type,age,lookup_value,term_rate
yos,,0,0.143011
yos,,1,0.121016
yos,,2,0.101138
yos,,3,0.080224
yos,,4,0.072583
yos,,5,0.064553
yos,,6,0.056077
yos,,7,0.049875
yos,,8,0.044869
yos,,9,0.041029
years_from_nr,,0,0.0
years_from_nr,,1,0.01691
years_from_nr,,2,0.018788
years_from_nr,,3,0.019981
years_from_nr,,4,0.020874
years_from_nr,,5,0.021593
years_from_nr,,6,0.0222
years_from_nr,,7,0.022726
years_from_nr,,8,0.023191
years_from_nr,,9,0.02361
years_from_nr,,10,0.023991
years_from_nr,,11,0.024341
years_from_nr,,12,0.024664
years_from_nr,,13,0.024966
years_from_nr,,14,0.025249
years_from_nr,,15,0.025515
years_from_nr,,16,0.025766
years_from_nr,,17,0.026005
years_from_nr,,18,0.026231
years_from_nr,,19,0.026448
years_from_nr,,20,0.026654
years_from_nr,,21,0.026853
years_from_nr,,22,0.027043
years_from_nr,,23,0.027226
years_from_nr,,24,0.027403
years_from_nr,,25,0.027573
years_from_nr,,26,0.027738
years_from_nr,,27,0.027898
years_from_nr,,28,0.028052
years_from_nr,,29,0.028202
years_from_nr,,30,0.028348
years_from_nr,,31,0.028489
years_from_nr,,32,0.028627
