age,yos,count
22,2,29012
22,7,347
27,2,73280
27,7,16980
27,12,90
32,2,51212
32,7,47926
32,12,10740
32,17,49
37,2,42966
37,7,35771
37,12,34520
37,17,8156
37,22,73
42,2,36918
42,7,31266
42,12,26289
42,17,32474
42,22,7274
42,27,102
47,2,29093
47,7,25947
47,12,20661
47,17,23353
47,22,25272
47,27,6131
47,32,68
52,2,24689
52,7,22498
52,12,18977
52,17,20461
52,22,19625
52,27,20493
52,32,3427
52,37,61
57,2,18806
57,7,17342
57,12,14547
57,17,17344
57,22,15091
57,27,10571
57,32,8172
57,37,1313
62,2,13145
62,7,12964
62,12,10881
62,17,12573
62,22,9902
62,27,6934
62,32,3788
62,37,2815
67,2,9678
67,7,9368
67,12,7476
67,17,6855
67,22,5610
67,27,4259
67,32,2663
67,37,2574
