yos,age_band,withdrawal_rate
0,under_25,0.28
0,25_to_29,0.28
0,30_to_34,0.27
0,35_to_44,0.26
0,45_to_54,0.25
0,over_55,0.3
1,under_25,0.18
1,25_to_29,0.17
1,30_to_34,0.16
1,35_to_44,0.15
1,45_to_54,0.125
1,over_55,0.125
2,under_25,0.16
2,25_to_29,0.135
2,30_to_34,0.125
2,35_to_44,0.115
2,45_to_54,0.1
2,over_55,0.1
3,under_25,0.16
3,25_to_29,0.115
3,30_to_34,0.105
3,35_to_44,0.095
3,45_to_54,0.09
3,over_55,0.09
4,under_25,0.16
4,25_to_29,0.1
4,30_to_34,0.09
4,35_to_44,0.08
4,45_to_54,0.075
4,over_55,0.075
5,under_25,0.13
5,25_to_29,0.08
5,30_to_34,0.08
5,35_to_44,0.075
5,45_to_54,0.075
5,over_55,0.075
6,under_25,0.12
6,25_to_29,0.08
6,30_to_34,0.08
6,35_to_44,0.075
6,45_to_54,0.075
6,over_55,0.075
7,under_25,0.075
7,25_to_29,0.075
7,30_to_34,0.075
7,35_to_44,0.065
7,45_to_54,0.065
7,over_55,0.065
8,under_25,0.06
8,25_to_29,0.06
8,30_to_34,0.06
8,35_to_44,0.055
8,45_to_54,0.055
8,over_55,0.055
9,under_25,0.05
9,25_to_29,0.05
9,30_to_34,0.05
9,35_to_44,0.05
9,45_to_54,0.05
9,over_55,0.05
10,under_25,0.045
10,25_to_29,0.045
10,30_to_34,0.045
10,35_to_44,0.045
10,45_to_54,0.045
10,over_55,0.045
11,under_25,0.04
11,25_to_29,0.04
11,30_to_34,0.04
11,35_to_44,0.04
11,45_to_54,0.04
11,over_55,0.04
12,under_25,0.035
12,25_to_29,0.035
12,30_to_34,0.035
12,35_to_44,0.035
12,45_to_54,0.035
12,over_55,0.035
13,under_25,0.035
13,25_to_29,0.035
13,30_to_34,0.035
13,35_to_44,0.035
13,45_to_54,0.035
13,over_55,0.035
14,under_25,0.03
14,25_to_29,0.03
14,30_to_34,0.03
14,35_to_44,0.03
14,45_to_54,0.03
14,over_55,0.03
15,under_25,0.03
15,25_to_29,0.03
15,30_to_34,0.03
15,35_to_44,0.028
15,45_to_54,0.028
15,over_55,0.028
16,under_25,0.03
16,25_to_29,0.03
16,30_to_34,0.03
16,35_to_44,0.025
16,45_to_54,0.025
16,over_55,0.025
17,under_25,0.025
17,25_to_29,0.025
17,30_to_34,0.025
17,35_to_44,0.025
17,45_to_54,0.025
17,over_55,0.025
18,under_25,0.02
18,25_to_29,0.02
18,30_to_34,0.02
18,35_to_44,0.02
18,45_to_54,0.02
18,over_55,0.02
19,under_25,0.02
19,25_to_29,0.02
19,30_to_34,0.02
19,35_to_44,0.02
19,45_to_54,0.02
19,over_55,0.02
20,under_25,0.02
20,25_to_29,0.02
20,30_to_34,0.02
20,35_to_44,0.02
20,45_to_54,0.02
20,over_55,0.02
21,under_25,0.015
21,25_to_29,0.015
21,30_to_34,0.015
21,35_to_44,0.015
21,45_to_54,0.015
21,over_55,0.015
22,under_25,0.015
22,25_to_29,0.015
22,30_to_34,0.015
22,35_to_44,0.015
22,45_to_54,0.015
22,over_55,0.015
23,under_25,0.013
23,25_to_29,0.013
23,30_to_34,0.013
23,35_to_44,0.013
23,45_to_54,0.013
23,over_55,0.013
24,under_25,0.013
24,25_to_29,0.013
24,30_to_34,0.013
24,35_to_44,0.013
24,45_to_54,0.013
24,over_55,0.013
25,under_25,0.01
25,25_to_29,0.01
25,30_to_34,0.01
25,35_to_44,0.01
25,45_to_54,0.01
25,over_55,0.01
26,under_25,0.01
26,25_to_29,0.01
26,30_to_34,0.01
26,35_to_44,0.01
26,45_to_54,0.01
26,over_55,0.01
27,under_25,0.008
27,25_to_29,0.008
27,30_to_34,0.008
27,35_to_44,0.008
27,45_to_54,0.008
27,over_55,0.008
28,under_25,0.008
28,25_to_29,0.008
28,30_to_34,0.008
28,35_to_44,0.008
28,45_to_54,0.008
28,over_55,0.008
29,under_25,0.005
29,25_to_29,0.005
29,30_to_34,0.005
29,35_to_44,0.005
29,45_to_54,0.005
29,over_55,0.005
30,under_25,0.005
30,25_to_29,0.005
30,30_to_34,0.005
30,35_to_44,0.005
30,45_to_54,0.005
30,over_55,0.005
