plan,year,n_active_boy,n_retired_boy,n_inactive_boy,payroll_fy,benefits_fy,aal_boy,er_cont_fy,ee_cont_fy,mva_boy,invest_income_fy,ava_boy,fr_mva_boy,fr_ava_boy
frs,2022,618430.16298012,,,38015971963.0,11944986866.0,217434441000.0,5194069003.502724,798564450.0,180226405000.0,11632978139.954002,179178895000.0,0.8288769900992824,0.8240594000469319
frs,2023,618430.16298012,,,39251491051.7975,12837589960.657064,222066325277.7216,5573920222.510277,862276156.8159842,184901505536.4553,11764993092.997349,184004238518.939,0.8326409026907294,0.8286003665293186
frs,2024,618430.16298012,,,40527164510.98091,13060171946.440643,226770030109.9917,5948518208.183722,864890176.1172351,189958281951.6273,12090510832.296852,189189291131.6828,0.8376692539992636,0.8342781938156425
frs,2025,618430.16298012,,,41844297357.5878,13280837726.59695,231598585373.79144,6119221937.600185,877288071.2328025,195242928558.8584,12434311643.684765,194583387642.2034,0.8430229754803709,0.8401751993784984
frs,2026,618430.16298012,,,43204237021.70941,13866094173.487694,236191729705.2512,6298120124.770714,891429384.9526035,200406563232.67365,12780308604.73566,199840248932.636,0.8484910266873671,0.8460933377388828
frs,2027,618430.16298012,,,44608374724.91496,14261032294.38563,240677395873.98035,6467631246.953733,897349262.9024032,205589138466.0727,13121912574.343576,205102264859.56143,0.8542104160613404,0.8521874857203201
frs,2028,618430.16298012,,,46058146903.47469,14951963013.00834,244797824377.92355,6656309683.219226,907715769.4248848,210545617447.32385,13455873918.734053,210126313273.73547,0.8600796105208823,0.858366751451755
frs,2029,618430.16298012,,,47555036677.837616,15285706004.879276,248819468390.7249,6842014048.611237,905157800.1473529,215555970252.7576,13783462478.404028,215194226331.39743,0.8663147286942467,0.8648608877882287
frs,2030,618430.16298012,,,49100575369.86733,15586231210.111862,252831446080.90244,7046549775.797115,917156957.8870478,220723690002.70453,14117229310.215073,220411004508.1342,0.8730072679807247,0.8717705329961442
frs,2031,618430.16298012,,,50696344069.388016,16286916857.22334,256434843879.76373,7314468476.277308,931431404.993659,225721261076.0285,14450006449.900805,225450234661.7726,0.8802285120888793,0.8791716104207777
frs,2032,618430.16298012,,,52343975251.643135,16773493008.146156,259759455999.2476,7479034847.790742,933459611.6067309,230599048510.3676,14772890983.131111,230363391072.7392,0.8877407277563577,0.8868335136696871
frs,2033,618430.16298012,,,54045154447.32154,17427722486.99291,262650322678.8816,7706150386.910828,941372213.0733709,235260806025.8314,15084467472.743776,235055111226.51395,0.8957187016802686,0.8949355509221828
frs,2034,618430.16298012,,,55801621966.85948,17706961651.126514,265426690207.79547,7938764972.566136,938339691.3996651,240044598688.7657,15392640987.153824,239864399955.90863,0.9043724973582769,0.90369359527531
frs,2035,618430.16298012,,,57615174680.78242,17967583950.009354,268156407044.62903,8184063398.843226,950484657.654038,245038402026.87888,15711279576.55456,244879920258.41937,0.9137891006501192,0.9131980956832564
frs,2036,618430.16298012,,,59487667857.90784,18652944016.823,270410469238.3773,8906259147.560247,965285363.341119,250316777977.2053,16045697482.36399,250176812774.33383,0.925691888639642,0.9251742858882926
frs,2037,618430.16298012,,,61421017063.28983,19047059971.92256,272379223156.85608,9175465135.966978,962225650.8269194,255659088125.3487,16391193420.367975,255534806807.40097,0.9386144991614184,0.9381582186988072
frs,2038,618430.16298012,,,63417200117.84676,19476196881.09554,274061070728.51028,9468812220.60376,969069717.7775536,261092180464.1714,16741514949.933,260981174545.55844,0.9526788309267532,0.9522737901147988
frs,2039,618430.16298012,,,65478259121.67677,19605668185.13185,275728564630.7235,9773493240.81942,969709352.1173894,266919081154.1755,17107387750.66612,266819419646.64948,0.9680501601698528,0.9676887122812036
frs,2040,618430.16298012,,,67606302543.13126,19727138825.221703,277429317716.5763,10087543552.317682,982449031.4930079,273220042015.2773,17501263293.45804,273130099283.67947,0.9848275743315664,0.984503373802444
frs,2041,618430.16298012,,,69803507375.78304,20141108474.43075,278877935054.15015,7640353768.649437,998780406.1290557,276881093340.17523,17824772193.924164,276798158642.1812,0.9928397285587072,0.9925423414671904
frs,2042,618430.16298012,,,72072121365.49597,20282849682.255283,280280922356.5394,7899696265.949644,999873000.1182644,280740286926.1188,18069003100.44523,280663314455.0049,1.001638943406198,1.0013643172544546
frs,2043,618430.16298012,,,74414465309.8746,20329759314.89968,281781985191.73773,5887908794.911535,1010931420.7041385,282595561043.392,18254593493.292084,282522726323.8955,1.0028872528919857,1.0026287739141797
frs,2044,618430.16298012,,,76832935432.44553,20209129039.60221,283563024630.3801,5604815589.587855,1021408955.9259174,284266186126.294,18369154401.141956,284196753445.67,1.0024797361956146,1.0022348781760806
frs,2045,618430.16298012,,,79330005834.0,20148143322.9694,285603583382.90656,5820642175.034126,1039603485.4203985,286212858338.8675,18486636667.606613,286146398665.7796,1.0021332889060572,1.001900589889117
frs,2046,618430.16298012,,,81908231023.605,20494221773.97325,287512768577.55804,6038261300.934765,1061349787.8444703,288042276293.71643,18609230303.497715,287978250204.6844,1.0018416841755515,1.0016189946256275
frs,2047,618430.16298012,,,84570248531.87215,20421493486.997307,289675708365.71344,6266596548.507924,1073446826.159581,290137514130.506,18736610085.142708,290075625599.54785,1.001594216399428,1.0013805687611526
frs,2048,618430.16298012,,,87318781609.15797,20245983423.839462,292260039897.7004,6497870281.048145,1096358787.1507068,292664423993.36755,18886581147.068184,292604482599.5125,1.001383644838373,1.0011785487401312
frs,2049,618430.16298012,,,90156642011.4556,20336202911.869827,295027839587.9328,6733434403.170178,1121109821.2126555,295383562136.07385,19056758060.951447,295325292460.8784,1.0012057253601487,1.0010082196763568
frs,2050,618430.16298012,,,93086732876.82793,20521679830.20624,297863205590.82874,6993397301.276552,1131265501.3544674,298177722390.2618,19235576992.96845,298120834622.3742,1.0010559102082084,1.000864923987622
frs,2051,618430.16298012,,,96112051695.32484,21005559658.99269,300479813771.8009,7252823240.296563,1148211288.2039669,300759487142.2869,19409918685.354,300703610896.2504,1.000930755936565,1.0007447991984562
frs,2052,618430.16298012,,,99235693375.4229,20952913904.72426,303394262155.6134,7527304756.677127,1158578354.3206534,303644535162.73737,19587190640.095867,303589577158.2718,1.000824910152703,1.000643766303524
