quantity,model,av,gap_dollars,gap_pct
Active total payroll (cohort-derived),57444266669.0,57484875501,-40608832.0,-0.07064263712164354
PVFB - active members,184978626101.2076,187884499767,-2905873665.792389,-1.546627672530747
PVFB - retirees in pay or deferred,133203697307.9692,133927805157,-724107849.0308075,-0.5406702873850244
PVFB - retiree future survivor,0.0,2079196524,-2079196524.0,-100.0
PVFB - vested inactive,17804966310.86209,7509703539,10295262771.862091,137.09279891537528
PVFB - inactive nonvested,0.0,1218489735,-1218489735.0,-100.0
PVFB - total,335987289720.03894,332619694722,3367594998.0389404,1.0124460612152089
PVFNC (employee + employer),62892229669.03889,59524634671,3367594998.038887,5.657481170026494
AAL - active (PVFB - PVFNC),122086396432.1687,128359865096,-6273468663.831299,-4.887406713258375
AAL - current retirees,133203697307.9692,133927805157,-724107849.0308075,-0.5406702873850244
AAL - other (term + survivor + nonvested),17804966310.86209,10807389798,6997576512.862091,64.74807186243113
AAL - total,273095060051.0,273095060051,0.0,0.0
